# diocotron highorder nc=256 l=3 ng=3 cfl=0.4
t,amplitude
0,9.30682e-05
0.0384292,9.30416e-05
0.0768585,9.3035e-05
0.115288,9.30412e-05
0.153717,9.30586e-05
0.192146,9.30869e-05
0.230575,9.31258e-05
0.269005,9.31748e-05
0.307434,9.32338e-05
0.345863,9.33028e-05
0.384292,9.33818e-05
0.422722,9.34706e-05
0.461151,9.35691e-05
0.49958,9.36773e-05
0.538009,9.3795e-05
0.576438,9.39222e-05
0.614868,9.40587e-05
0.653297,9.42044e-05
0.691726,9.43592e-05
0.730155,9.45229e-05
0.768585,9.46955e-05
0.807014,9.48768e-05
0.845443,9.50667e-05
0.883872,9.52652e-05
0.922302,9.54721e-05
0.960731,9.56873e-05
0.99916,9.59107e-05
1.03759,9.61422e-05
1.07602,9.63817e-05
1.11445,9.66293e-05
1.15288,9.68847e-05
1.19131,9.71479e-05
1.22974,9.74187e-05
1.26816,9.76972e-05
1.30659,9.79832e-05
1.34502,9.82765e-05
1.38345,9.85771e-05
1.42188,9.8885e-05
1.46031,9.91999e-05
1.49874,9.95218e-05
1.53717,9.98506e-05
1.5756,0.000100186
1.61403,0.000100528
1.65246,0.000100877
1.69089,0.000101233
1.72932,0.000101594
1.76774,0.000101962
1.80617,0.000102337
1.8446,0.000102717
1.88303,0.000103103
1.92146,0.000103496
1.95989,0.000103894
1.99832,0.000104298
2.03675,0.000104707
2.07518,0.000105122
2.11361,0.000105543
2.15204,0.000105969
2.19047,0.0001064
2.2289,0.000106837
2.26732,0.000107278
2.30575,0.000107725
2.34418,0.000108177
2.38261,0.000108634
2.42104,0.000109096
2.45947,0.000109562
2.4979,0.000110033
2.53633,0.000110509
2.57476,0.00011099
2.61319,0.000111475
2.65162,0.000111964
2.69005,0.000112458
2.72848,0.000112956
2.7669,0.000113459
2.80533,0.000113965
2.84376,0.000114476
2.88219,0.000114991
2.92062,0.000115509
2.95905,0.000116032
2.99748,0.000116559
3.03591,0.000117089
3.07434,0.000117623
3.11277,0.000118161
3.1512,0.000118702
3.18963,0.000119247
3.22806,0.000119795
3.26648,0.000120347
3.30491,0.000120902
3.34334,0.000121461
3.38177,0.000122023
3.4202,0.000122588
3.45863,0.000123156
3.49706,0.000123728
3.53549,0.000124302
3.57392,0.00012488
3.61235,0.00012546
3.65078,0.000126044
3.68921,0.00012663
3.72764,0.00012722
3.76606,0.000127811
3.80449,0.000128406
3.84292,0.000129004
3.88135,0.000129604
3.91978,0.000130207
3.95821,0.000130812
3.99664,0.00013142
