# diocotron highorder nc=1024 l=4 ng=3 cfl=0.4
t,amplitude
0,6.15109e-05
0.00959278,6.15099e-05
0.0191856,6.15099e-05
0.0287783,6.15107e-05
0.0383711,6.15121e-05
0.0479639,6.15142e-05
0.0575567,6.15169e-05
0.0671494,6.15203e-05
0.0767422,6.15242e-05
0.086335,6.15288e-05
0.0959278,6.1534e-05
0.105521,6.15399e-05
0.115113,6.15463e-05
0.124706,6.15534e-05
0.134299,6.15611e-05
0.143892,6.15694e-05
0.153484,6.15783e-05
0.163077,6.15878e-05
0.17267,6.1598e-05
0.182263,6.16087e-05
0.191856,6.16201e-05
0.201448,6.16321e-05
0.211041,6.16447e-05
0.220634,6.16578e-05
0.230227,6.16716e-05
0.239819,6.1686e-05
0.249412,6.1701e-05
0.259005,6.17167e-05
0.268598,6.17329e-05
0.278191,6.17497e-05
0.287783,6.17671e-05
0.297376,6.17851e-05
0.306969,6.18037e-05
0.316562,6.18229e-05
0.326154,6.18427e-05
0.335747,6.18631e-05
0.34534,6.18841e-05
0.354933,6.19056e-05
0.364526,6.19278e-05
0.374118,6.19506e-05
0.383711,6.19739e-05
0.393304,6.19979e-05
0.402897,6.20224e-05
0.412489,6.20475e-05
0.422082,6.20732e-05
0.431675,6.20995e-05
0.441268,6.21263e-05
0.450861,6.21537e-05
0.460453,6.21818e-05
0.470046,6.22103e-05
0.479639,6.22395e-05
0.489232,6.22692e-05
0.498824,6.22996e-05
0.508417,6.23304e-05
0.51801,6.23619e-05
0.527603,6.23939e-05
0.537196,6.24265e-05
0.546788,6.24596e-05
0.556381,6.24933e-05
0.565974,6.25276e-05
0.575567,6.25624e-05
0.585159,6.25978e-05
0.594752,6.26337e-05
0.604345,6.26702e-05
0.613938,6.27073e-05
0.623531,6.27449e-05
0.633123,6.2783e-05
0.642716,6.28217e-05
0.652309,6.2861e-05
0.661902,6.29008e-05
0.671494,6.29411e-05
0.681087,6.2982e-05
0.69068,6.30234e-05
0.700273,6.30654e-05
0.709866,6.31078e-05
0.719458,6.31509e-05
0.729051,6.31944e-05
0.738644,6.32385e-05
0.748237,6.32831e-05
0.757829,6.33283e-05
0.767422,6.33739e-05
0.777015,6.34201e-05
0.786608,6.34669e-05
0.796201,6.35141e-05
0.805793,6.35618e-05
0.815386,6.36101e-05
0.824979,6.36589e-05
0.834572,6.37082e-05
0.844164,6.3758e-05
0.853757,6.38083e-05
0.86335,6.38592e-05
0.872943,6.39105e-05
0.882536,6.39623e-05
0.892128,6.40147e-05
0.901721,6.40675e-05
0.911314,6.41209e-05
0.920907,6.41747e-05
0.930499,6.42291e-05
0.940092,6.42839e-05
0.949685,6.43392e-05
0.959278,6.4395e-05
0.968871,6.44513e-05
0.978463,6.45081e-05
0.988056,6.45654e-05
0.997649,6.46231e-05
1.00724,6.46814e-05
1.01683,6.47401e-05
1.02643,6.47993e-05
1.03602,6.48589e-05
1.04561,6.49191e-05
1.05521,6.49797e-05
1.0648,6.50408e-05
1.07439,6.51023e-05
1.08398,6.51643e-05
1.09358,6.52268e-05
1.10317,6.52898e-05
1.11276,6.53532e-05
1.12235,6.5417e-05
1.13195,6.54813e-05
1.14154,6.55461e-05
1.15113,6.56113e-05
1.16073,6.5677e-05
1.17032,6.57431e-05
1.17991,6.58097e-05
1.1895,6.58767e-05
1.1991,6.59442e-05
1.20869,6.6012e-05
1.21828,6.60804e-05
1.22788,6.61491e-05
1.23747,6.62184e-05
1.24706,6.6288e-05
1.25665,6.63581e-05
1.26625,6.64286e-05
1.27584,6.64995e-05
1.28543,6.65708e-05
1.29502,6.66426e-05
1.30462,6.67148e-05
1.31421,6.67874e-05
1.3238,6.68605e-05
1.3334,6.69339e-05
1.34299,6.70078e-05
1.35258,6.70821e-05
1.36217,6.71568e-05
1.37177,6.72319e-05
1.38136,6.73074e-05
1.39095,6.73833e-05
1.40055,6.74597e-05
1.41014,6.75364e-05
1.41973,6.76135e-05
1.42932,6.76911e-05
1.43892,6.7769e-05
1.44851,6.78473e-05
1.4581,6.7926e-05
1.46769,6.80052e-05
1.47729,6.80847e-05
1.48688,6.81645e-05
1.49647,6.82448e-05
1.50607,6.83255e-05
1.51566,6.84065e-05
1.52525,6.8488e-05
1.53484,6.85698e-05
1.54444,6.8652e-05
1.55403,6.87345e-05
1.56362,6.88175e-05
1.57322,6.89008e-05
1.58281,6.89844e-05
1.5924,6.90685e-05
1.60199,6.91529e-05
1.61159,6.92377e-05
1.62118,6.93229e-05
1.63077,6.94084e-05
1.64036,6.94942e-05
1.64996,6.95805e-05
1.65955,6.96671e-05
1.66914,6.9754e-05
1.67874,6.98413e-05
1.68833,6.9929e-05
1.69792,7.0017e-05
1.70751,7.01053e-05
1.71711,7.0194e-05
1.7267,7.02831e-05
1.73629,7.03725e-05
1.74589,7.04622e-05
1.75548,7.05523e-05
1.76507,7.06427e-05
1.77466,7.07335e-05
1.78426,7.08245e-05
1.79385,7.0916e-05
1.80344,7.10077e-05
1.81303,7.10998e-05
1.82263,7.11923e-05
1.83222,7.1285e-05
1.84181,7.13781e-05
1.85141,7.14715e-05
1.861,7.15653e-05
1.87059,7.16593e-05
1.88018,7.17537e-05
1.88978,7.18484e-05
1.89937,7.19434e-05
1.90896,7.20388e-05
1.91856,7.21344e-05
1.92815,7.22304e-05
1.93774,7.23267e-05
1.94733,7.24233e-05
1.95693,7.25202e-05
1.96652,7.26174e-05
1.97611,7.27149e-05
1.9857,7.28127e-05
1.9953,7.29108e-05
2.00489,7.30093e-05
2.01448,7.3108e-05
2.02408,7.3207e-05
2.03367,7.33063e-05
2.04326,7.3406e-05
2.05285,7.35059e-05
2.06245,7.36061e-05
2.07204,7.37066e-05
2.08163,7.38074e-05
2.09123,7.39085e-05
2.10082,7.40099e-05
2.11041,7.41115e-05
2.12,7.42135e-05
2.1296,7.43157e-05
2.13919,7.44182e-05
2.14878,7.4521e-05
2.15837,7.46241e-05
2.16797,7.47274e-05
2.17756,7.48311e-05
2.18715,7.4935e-05
2.19675,7.50391e-05
2.20634,7.51436e-05
2.21593,7.52483e-05
2.22552,7.53533e-05
2.23512,7.54586e-05
2.24471,7.55641e-05
2.2543,7.56699e-05
2.2639,7.5776e-05
2.27349,7.58823e-05
2.28308,7.59889e-05
2.29267,7.60958e-05
2.30227,7.62029e-05
2.31186,7.63103e-05
2.32145,7.64179e-05
2.33104,7.65258e-05
2.34064,7.66339e-05
2.35023,7.67423e-05
2.35982,7.6851e-05
2.36942,7.69599e-05
2.37901,7.7069e-05
2.3886,7.71784e-05
2.39819,7.72881e-05
2.40779,7.7398e-05
2.41738,7.75081e-05
2.42697,7.76185e-05
2.43657,7.77292e-05
2.44616,7.784e-05
2.45575,7.79512e-05
2.46534,7.80625e-05
2.47494,7.81741e-05
2.48453,7.8286e-05
2.49412,7.8398e-05
2.50371,7.85103e-05
2.51331,7.86229e-05
2.5229,7.87357e-05
2.53249,7.88487e-05
2.54209,7.89619e-05
2.55168,7.90754e-05
2.56127,7.91891e-05
2.57086,7.9303e-05
2.58046,7.94171e-05
2.59005,7.95315e-05
2.59964,7.96461e-05
2.60924,7.9761e-05
2.61883,7.9876e-05
2.62842,7.99913e-05
2.63801,8.01068e-05
2.64761,8.02225e-05
