# diocotron highorder nc=1024 l=5 ng=3 cfl=0.4
t,amplitude
0,4.33594e-05
0.0096182,4.33587e-05
0.0192364,4.3359e-05
0.0288546,4.33599e-05
0.0384728,4.33613e-05
0.048091,4.33634e-05
0.0577092,4.33659e-05
0.0673274,4.33691e-05
0.0769456,4.33727e-05
0.0865638,4.33769e-05
0.096182,4.33817e-05
0.1058,4.3387e-05
0.115418,4.33928e-05
0.125037,4.33991e-05
0.134655,4.3406e-05
0.144273,4.34135e-05
0.153891,4.34214e-05
0.163509,4.34299e-05
0.173128,4.34389e-05
0.182746,4.34484e-05
0.192364,4.34585e-05
0.201982,4.34691e-05
0.2116,4.34802e-05
0.221219,4.34918e-05
0.230837,4.3504e-05
0.240455,4.35166e-05
0.250073,4.35298e-05
0.259691,4.35435e-05
0.26931,4.35577e-05
0.278928,4.35724e-05
0.288546,4.35877e-05
0.298164,4.36034e-05
0.307782,4.36196e-05
0.317401,4.36364e-05
0.327019,4.36537e-05
0.336637,4.36714e-05
0.346255,4.36897e-05
0.355873,4.37085e-05
0.365492,4.37278e-05
0.37511,4.37476e-05
0.384728,4.37678e-05
0.394346,4.37886e-05
0.403964,4.38099e-05
0.413583,4.38317e-05
0.423201,4.38539e-05
0.432819,4.38767e-05
0.442437,4.38999e-05
0.452055,4.39237e-05
0.461674,4.39479e-05
0.471292,4.39726e-05
0.48091,4.39978e-05
0.490528,4.40235e-05
0.500146,4.40496e-05
0.509765,4.40763e-05
0.519383,4.41034e-05
0.529001,4.4131e-05
0.538619,4.4159e-05
0.548237,4.41876e-05
0.557856,4.42166e-05
0.567474,4.42461e-05
0.577092,4.4276e-05
0.58671,4.43064e-05
0.596328,4.43373e-05
0.605947,4.43686e-05
0.615565,4.44004e-05
0.625183,4.44327e-05
0.634801,4.44654e-05
0.644419,4.44986e-05
0.654038,4.45322e-05
0.663656,4.45663e-05
0.673274,4.46008e-05
0.682892,4.46358e-05
0.69251,4.46712e-05
0.702129,4.47071e-05
0.711747,4.47434e-05
0.721365,4.47802e-05
0.730983,4.48173e-05
0.740601,4.4855e-05
0.75022,4.4893e-05
0.759838,4.49315e-05
0.769456,4.49705e-05
0.779074,4.50098e-05
0.788692,4.50496e-05
0.798311,4.50898e-05
