commit,case,frontend,backend,n,steps,dt,cache_state,setup_ms,compile_ms,advance_ms,step_loop_ms,extract_ms,total_ms,ratio_vs_cpp,notes
1f9fb4a,frontend-euler-periodic,cpp-native,kokkos-openmp,128,40,1e-4,n/a,,0,291.196226,n/a,0.122962,291.319188,1.0,threads=1
1f9fb4a,frontend-euler-periodic,cpp-native,kokkos-openmp,128,40,1e-4,n/a,,0,253.697298,n/a,0.142852,253.840150,1.0,threads=4
1f9fb4a,frontend-euler-periodic,cpp-native,kokkos-openmp,128,40,1e-4,n/a,,0,181.671259,n/a,0.139341,181.810600,1.0,threads=8
1f9fb4a,frontend-euler-periodic,python-bricks,kokkos-openmp,128,40,1e-4,n/a,0.6625140085816383,0.0,281.32728207856417,283.1932259723544,0.2101808786392212,282.199976965785,,threads=1 mass=5.94124800000000032e+04
1f9fb4a,frontend-euler-periodic,python-dsl-production,kokkos-openmp,128,40,1e-4,cold,0.5156630650162697,11732.363755814731,339.0431688167155,339.448812417686,0.06778119131922722,12071.990368887782,,threads=1 mass=5.94124800000000032e+04
1f9fb4a,frontend-euler-periodic,python-dsl-production,kokkos-openmp,128,40,1e-4,warm,0.1566912978887558,6.750378757715225,339.1230502165854,339.407981839031,0.06585009396076202,346.09597036615014,,threads=1 mass=5.94124800000000032e+04
1f9fb4a,frontend-euler-periodic,python-bricks,kokkos-openmp,128,40,1e-4,n/a,0.7426762022078037,0.0,220.19179072231054,220.3906220383942,0.10469090193510056,221.03915782645345,,threads=4 mass=5.94124800000000032e+04
1f9fb4a,frontend-euler-periodic,python-dsl-production,kokkos-openmp,128,40,1e-4,cold,0.5424437113106251,11744.17713098228,339.62230291217566,339.6073030307889,0.06658025085926056,12084.408457856625,,threads=4 mass=5.94124800000000032e+04
1f9fb4a,frontend-euler-periodic,python-dsl-production,kokkos-openmp,128,40,1e-4,warm,0.16155093908309937,6.714428775012493,339.6194432862103,339.44992115721107,0.07571978494524956,346.57114278525114,,threads=4 mass=5.94124800000000032e+04
1f9fb4a,frontend-euler-periodic,python-bricks,kokkos-openmp,128,40,1e-4,n/a,0.9261267259716988,0.0,148.03314860910177,148.7363139167428,0.10902108624577522,149.06829642131925,,threads=8 mass=5.94124800000000032e+04
1f9fb4a,frontend-euler-periodic,python-dsl-production,kokkos-openmp,128,40,1e-4,cold,0.5333730950951576,11746.571362018585,339.54492304474115,339.304612018168,0.06623007357120514,12086.715888231993,,threads=8 mass=5.94124800000000032e+04
1f9fb4a,frontend-euler-periodic,python-dsl-production,kokkos-openmp,128,40,1e-4,warm,0.1627509482204914,6.663650274276733,339.35141237452626,339.5207328721881,0.06702961400151253,346.244843211025,,threads=8 mass=5.94124800000000032e+04
