commit,case,backend,np,threads,n,steps,phase,total_s,per_step_ms,pct
adde23b,transport-euler-periodic-mbox,mpi+kokkos-openmp,8,4,1024,24,transport,5.014776919e+00,208.949038,35.132
adde23b,transport-euler-periodic-mbox,mpi+kokkos-openmp,8,4,1024,24,diagnostic_reduction,2.149169099e+00,89.548712,15.057
adde23b,transport-euler-periodic-mbox,mpi+kokkos-openmp,8,4,1024,24,fence,4.550000000e-06,0.000190,0.000
adde23b,transport-euler-periodic-mbox,mpi+kokkos-openmp,8,4,1024,24,TOTAL,1.427392828e+01,594.747012,100.000
adde23b,transport-euler-periodic-mbox,mpi+kokkos-openmp,1,4,384,24,halos,3.953644000e-03,0.164735,0.653
adde23b,transport-euler-periodic-mbox,mpi+kokkos-openmp,1,4,384,24,cfl_reduction,8.708199000e-03,0.362842,1.438
adde23b,transport-euler-periodic-mbox,mpi+kokkos-openmp,1,4,384,24,transport,5.903406570e-01,24.597527,97.494
adde23b,transport-euler-periodic-mbox,mpi+kokkos-openmp,1,4,384,24,diagnostic_reduction,2.511811000e-03,0.104659,0.415
adde23b,transport-euler-periodic-mbox,mpi+kokkos-openmp,1,4,384,24,fence,2.710000000e-06,0.000113,0.000
adde23b,transport-euler-periodic-mbox,mpi+kokkos-openmp,1,4,384,24,TOTAL,6.055170210e-01,25.229876,100.000
adde23b,transport-euler-periodic-mbox,mpi+kokkos-openmp,2,4,543,24,halos,3.401314026e+00,141.721418,68.423
adde23b,transport-euler-periodic-mbox,mpi+kokkos-openmp,2,4,543,24,cfl_reduction,8.546860600e-02,3.561192,1.719
adde23b,transport-euler-periodic-mbox,mpi+kokkos-openmp,2,4,543,24,transport,1.480304091e+00,61.679337,29.779
adde23b,transport-euler-periodic-mbox,mpi+kokkos-openmp,2,4,543,24,diagnostic_reduction,3.955839000e-03,0.164827,0.080
adde23b,transport-euler-periodic-mbox,mpi+kokkos-openmp,2,4,543,24,fence,3.240000000e-06,0.000135,0.000
adde23b,transport-euler-periodic-mbox,mpi+kokkos-openmp,2,4,543,24,TOTAL,4.971045802e+00,207.126908,100.000
adde23b,transport-euler-periodic-mbox,mpi+kokkos-openmp,4,4,768,24,halos,3.851356042e+00,160.473168,45.932
adde23b,transport-euler-periodic-mbox,mpi+kokkos-openmp,4,4,768,24,cfl_reduction,7.987951360e-01,33.283131,9.527
