# diocotron highorder nc=512 l=5 ng=3 cfl=0.4
t,amplitude
0,4.32389e-05
0.0192983,4.3236e-05
0.0385966,4.32366e-05
0.0578949,4.32396e-05
0.0771932,4.32449e-05
0.0964915,4.32524e-05
0.11579,4.32621e-05
0.135088,4.32738e-05
0.154386,4.32877e-05
0.173685,4.33036e-05
0.192983,4.33217e-05
0.212281,4.33418e-05
0.23158,4.3364e-05
0.250878,4.33882e-05
0.270176,4.34145e-05
0.289475,4.34428e-05
0.308773,4.34731e-05
0.328071,4.35055e-05
0.347369,4.35398e-05
0.366668,4.35762e-05
0.385966,4.36145e-05
0.405264,4.36548e-05
0.424563,4.3697e-05
0.443861,4.37412e-05
0.463159,4.37873e-05
0.482458,4.38353e-05
0.501756,4.38852e-05
0.521054,4.39371e-05
0.540353,4.39908e-05
0.559651,4.40463e-05
0.578949,4.41038e-05
0.598247,4.41631e-05
0.617546,4.42242e-05
0.636844,4.42871e-05
0.656142,4.43518e-05
0.675441,4.44184e-05
0.694739,4.44867e-05
0.714037,4.45568e-05
0.733336,4.46286e-05
0.752634,4.47022e-05
0.771932,4.47775e-05
0.79123,4.48545e-05
0.810529,4.49332e-05
0.829827,4.50136e-05
0.849125,4.50957e-05
0.868424,4.51794e-05
0.887722,4.52648e-05
0.90702,4.53518e-05
0.926319,4.54405e-05
0.945617,4.55307e-05
0.964915,4.56225e-05
0.984214,4.57158e-05
1.00351,4.58108e-05
1.02281,4.59072e-05
1.04211,4.60052e-05
1.06141,4.61047e-05
1.08071,4.62056e-05
1.1,4.63081e-05
1.1193,4.6412e-05
1.1386,4.65174e-05
1.1579,4.66242e-05
1.1772,4.67324e-05
1.19649,4.6842e-05
1.21579,4.69531e-05
1.23509,4.70655e-05
1.25439,4.71792e-05
1.27369,4.72943e-05
1.29299,4.74108e-05
1.31228,4.75285e-05
1.33158,4.76476e-05
1.35088,4.77679e-05
1.37018,4.78895e-05
1.38948,4.80124e-05
1.40878,4.81365e-05
1.42807,4.82618e-05
1.44737,4.83884e-05
1.46667,4.85162e-05
1.48597,4.86451e-05
1.50527,4.87753e-05
1.52457,4.89065e-05
1.54386,4.9039e-05
1.56316,4.91725e-05
1.58246,4.93072e-05
1.60176,4.9443e-05
1.62106,4.95799e-05
1.64036,4.97178e-05
1.65965,4.98569e-05
1.67895,4.99969e-05
1.69825,5.0138e-05
1.71755,5.02802e-05
1.73685,5.04233e-05
1.75615,5.05675e-05
1.77544,5.07126e-05
1.79474,5.08588e-05
1.81404,5.10058e-05
1.83334,5.11539e-05
1.85264,5.13029e-05
1.87194,5.14528e-05
1.89123,5.16036e-05
1.91053,5.17553e-05
1.92983,5.19079e-05
1.94913,5.20614e-05
1.96843,5.22158e-05
1.98773,5.23711e-05
2.00702,5.25272e-05
2.02632,5.26841e-05
2.04562,5.28419e-05
2.06492,5.30005e-05
2.08422,5.31599e-05
2.10352,5.332e-05
2.12281,5.3481e-05
2.14211,5.36428e-05
2.16141,5.38053e-05
2.18071,5.39686e-05
2.20001,5.41326e-05
2.2193,5.42974e-05
2.2386,5.44629e-05
2.2579,5.46291e-05
2.2772,5.4796e-05
2.2965,5.49636e-05
2.3158,5.51319e-05
2.33509,5.53009e-05
2.35439,5.54706e-05
2.37369,5.56409e-05
2.39299,5.58118e-05
2.41229,5.59835e-05
2.43159,5.61557e-05
2.45088,5.63286e-05
2.47018,5.65021e-05
2.48948,5.66762e-05
2.50878,5.68509e-05
2.52808,5.70263e-05
2.54738,5.72022e-05
2.56667,5.73786e-05
2.58597,5.75557e-05
2.60527,5.77333e-05
2.62457,5.79115e-05
2.64387,5.80902e-05
2.66317,5.82695e-05
2.68246,5.84493e-05
2.70176,5.86296e-05
2.72106,5.88104e-05
2.74036,5.89918e-05
2.75966,5.91737e-05
2.77896,5.9356e-05
2.79825,5.95389e-05
2.81755,5.97222e-05
2.83685,5.9906e-05
2.85615,6.00903e-05
2.87545,6.02751e-05
2.89475,6.04603e-05
2.91404,6.0646e-05
2.93334,6.08321e-05
2.95264,6.10187e-05
2.97194,6.12057e-05
2.99124,6.13931e-05
3.01054,6.1581e-05
3.02983,6.17693e-05
3.04913,6.1958e-05
3.06843,6.21471e-05
3.08773,6.23366e-05
3.10703,6.25265e-05
3.12633,6.27168e-05
3.14562,6.29075e-05
3.16492,6.30986e-05
3.18422,6.32901e-05
3.20352,6.34819e-05
3.22282,6.36741e-05
3.24212,6.38667e-05
3.26141,6.40596e-05
3.28071,6.42529e-05
3.30001,6.44465e-05
3.31931,6.46405e-05
3.33861,6.48348e-05
3.3579,6.50294e-05
3.3772,6.52244e-05
3.3965,6.54197e-05
3.4158,6.56153e-05
3.4351,6.58113e-05
3.4544,6.60076e-05
3.47369,6.62042e-05
3.49299,6.64011e-05
3.51229,6.65983e-05
3.53159,6.67958e-05
3.55089,6.69936e-05
3.57019,6.71917e-05
3.58948,6.73901e-05
3.60878,6.75888e-05
3.62808,6.77878e-05
3.64738,6.79871e-05
3.66668,6.81866e-05
3.68598,6.83864e-05
3.70527,6.85865e-05
3.72457,6.87869e-05
3.74387,6.89875e-05
3.76317,6.91884e-05
3.78247,6.93896e-05
3.80177,6.9591e-05
3.82106,6.97927e-05
3.84036,6.99946e-05
