# diocotron highorder nc=256 l=4 ng=3 cfl=0.4
t,amplitude
0,6.13586e-05
0.0388367,6.12451e-05
0.0776734,6.11453e-05
0.11651,6.10596e-05
0.155347,6.09847e-05
0.194183,6.09197e-05
0.23302,6.08652e-05
0.271857,6.08207e-05
0.310693,6.07858e-05
0.34953,6.07611e-05
0.388367,6.07465e-05
0.427204,6.07417e-05
0.46604,6.07468e-05
0.504877,6.07617e-05
0.543714,6.07862e-05
0.58255,6.08206e-05
0.621387,6.08644e-05
0.660224,6.09176e-05
0.69906,6.09804e-05
0.737897,6.10524e-05
0.776734,6.11337e-05
0.81557,6.1224e-05
0.854407,6.13233e-05
0.893244,6.14316e-05
0.93208,6.15486e-05
0.970917,6.16744e-05
1.00975,6.18089e-05
1.04859,6.19519e-05
1.08743,6.21035e-05
1.12626,6.22634e-05
1.1651,6.24314e-05
1.20394,6.26077e-05
1.24277,6.2792e-05
1.28161,6.29842e-05
1.32045,6.31842e-05
1.35928,6.33921e-05
1.39812,6.36079e-05
1.43696,6.38313e-05
1.47579,6.4062e-05
1.51463,6.43e-05
1.55347,6.45453e-05
1.5923,6.47975e-05
1.63114,6.50566e-05
1.66998,6.53225e-05
1.70881,6.5595e-05
1.74765,6.58742e-05
1.78649,6.61598e-05
1.82532,6.64518e-05
1.86416,6.67499e-05
1.903,6.70541e-05
1.94183,6.73643e-05
1.98067,6.76803e-05
2.01951,6.80021e-05
2.05834,6.83294e-05
2.09718,6.86622e-05
2.13602,6.90004e-05
2.17485,6.93439e-05
2.21369,6.96926e-05
2.25253,7.00464e-05
2.29136,7.04054e-05
2.3302,7.07693e-05
2.36904,7.11381e-05
2.40787,7.15116e-05
2.44671,7.18899e-05
2.48555,7.22727e-05
2.52438,7.266e-05
2.56322,7.30516e-05
2.60206,7.34476e-05
2.64089,7.38478e-05
2.67973,7.42522e-05
2.71857,7.46608e-05
2.7574,7.50733e-05
2.79624,7.54899e-05
2.83508,7.59103e-05
2.87391,7.63345e-05
2.91275,7.67625e-05
2.95159,7.71942e-05
2.99042,7.76294e-05
3.02926,7.80681e-05
3.0681,7.85102e-05
3.10693,7.89558e-05
3.14577,7.94046e-05
3.18461,7.98568e-05
3.22344,8.03121e-05
3.26228,8.07706e-05
3.30112,8.12321e-05
3.33995,8.16966e-05
3.37879,8.21639e-05
3.41763,8.26341e-05
3.45647,8.3107e-05
3.4953,8.35826e-05
3.53414,8.40609e-05
3.57298,8.45418e-05
3.61181,8.50253e-05
3.65065,8.55113e-05
3.68949,8.59998e-05
3.72832,8.64907e-05
3.76716,8.69841e-05
3.806,8.74798e-05
3.84483,8.79778e-05
3.88367,8.84782e-05
3.92251,8.8981e-05
3.96134,8.9486e-05
4.00018,8.99932e-05
4.03902,9.05027e-05
4.07785,9.10144e-05
4.11669,9.15282e-05
