# diocotron highorder nc=512 l=3 ng=3 cfl=0.4
t,amplitude
0,9.28825e-05
0.0191495,9.28776e-05
0.038299,9.28778e-05
0.0574485,9.28813e-05
0.076598,9.28876e-05
0.0957475,9.28967e-05
0.114897,9.29085e-05
0.134047,9.29229e-05
0.153196,9.29399e-05
0.172346,9.29595e-05
0.191495,9.29818e-05
0.210645,9.30066e-05
0.229794,9.3034e-05
0.248944,9.30639e-05
0.268093,9.30964e-05
0.287243,9.31314e-05
0.306392,9.3169e-05
0.325542,9.3209e-05
0.344691,9.32515e-05
0.363841,9.32965e-05
0.38299,9.3344e-05
0.40214,9.33939e-05
0.421289,9.34463e-05
0.440439,9.3501e-05
0.459588,9.35582e-05
0.478738,9.36179e-05
0.497887,9.36799e-05
0.517037,9.37443e-05
0.536186,9.38111e-05
0.555336,9.38802e-05
0.574485,9.39517e-05
0.593635,9.40256e-05
0.612784,9.41018e-05
0.631934,9.41803e-05
0.651083,9.42612e-05
0.670233,9.43444e-05
0.689382,9.44298e-05
0.708532,9.45175e-05
0.727681,9.46076e-05
0.746831,9.46998e-05
0.76598,9.47944e-05
0.78513,9.48911e-05
0.804279,9.49901e-05
0.823429,9.50914e-05
0.842578,9.51948e-05
0.861728,9.53004e-05
0.880877,9.54081e-05
0.900027,9.55181e-05
0.919176,9.56302e-05
0.938326,9.57444e-05
0.957475,9.58607e-05
0.976625,9.59791e-05
0.995774,9.60997e-05
1.01492,9.62223e-05
1.03407,9.63469e-05
1.05322,9.64736e-05
1.07237,9.66023e-05
1.09152,9.67331e-05
1.11067,9.68658e-05
1.12982,9.70006e-05
1.14897,9.71373e-05
1.16812,9.7276e-05
1.18727,9.74167e-05
1.20642,9.75593e-05
1.22557,9.77038e-05
1.24472,9.78502e-05
1.26387,9.79986e-05
1.28302,9.81488e-05
1.30217,9.83009e-05
1.32132,9.84549e-05
1.34047,9.86108e-05
1.35961,9.87684e-05
1.37876,9.89279e-05
1.39791,9.90892e-05
1.41706,9.92524e-05
1.43621,9.94173e-05
1.45536,9.95839e-05
1.47451,9.97523e-05
1.49366,9.99225e-05
1.51281,0.000100094
1.53196,0.000100268
1.55111,0.000100443
1.57026,0.00010062
1.58941,0.000100799
1.60856,0.000100979
1.62771,0.000101162
1.64686,0.000101345
1.66601,0.000101531
1.68516,0.000101717
1.70431,0.000101906
1.72346,0.000102096
1.74261,0.000102288
1.76175,0.000102481
1.7809,0.000102676
1.80005,0.000102873
1.8192,0.000103071
1.83835,0.00010327
1.8575,0.000103471
1.87665,0.000103674
1.8958,0.000103878
1.91495,0.000104083
1.9341,0.00010429
1.95325,0.000104499
1.9724,0.000104709
1.99155,0.00010492
2.0107,0.000105133
2.02985,0.000105347
2.049,0.000105563
2.06815,0.00010578
2.0873,0.000105998
2.10645,0.000106218
2.1256,0.000106439
2.14474,0.000106661
2.16389,0.000106885
2.18304,0.00010711
2.20219,0.000107336
2.22134,0.000107564
2.24049,0.000107793
2.25964,0.000108023
2.27879,0.000108255
2.29794,0.000108487
2.31709,0.000108722
2.33624,0.000108957
2.35539,0.000109193
2.37454,0.000109431
2.39369,0.00010967
2.41284,0.00010991
2.43199,0.000110151
2.45114,0.000110394
2.47029,0.000110638
2.48944,0.000110882
2.50859,0.000111128
2.52773,0.000111375
2.54688,0.000111624
2.56603,0.000111873
2.58518,0.000112124
2.60433,0.000112375
2.62348,0.000112628
2.64263,0.000112881
2.66178,0.000113136
2.68093,0.000113392
2.70008,0.000113649
2.71923,0.000113907
2.73838,0.000114166
2.75753,0.000114426
2.77668,0.000114687
2.79583,0.000114949
2.81498,0.000115212
2.83413,0.000115476
2.85328,0.000115741
2.87243,0.000116007
2.89158,0.000116274
2.91072,0.000116542
2.92987,0.000116811
2.94902,0.000117081
2.96817,0.000117351
2.98732,0.000117623
3.00647,0.000117896
3.02562,0.000118169
3.04477,0.000118443
3.06392,0.000118719
