# diocotron highorder nc=256 l=5 ng=3 cfl=0.4
t,amplitude
9.90769,0.000140778
9.94639,0.000141322
9.98509,0.000141868
10.0238,0.000142416
10.0625,0.000142965
10.1012,0.000143516
10.1399,0.000144068
10.1786,0.000144622
10.2173,0.000145178
10.256,0.000145735
10.2947,0.000146294
10.3334,0.000146855
10.3721,0.000147417
10.4108,0.000147981
10.4495,0.000148546
10.4882,0.000149114
10.5269,0.000149683
10.5656,0.000150254
10.6043,0.000150826
10.643,0.000151401
10.6817,0.000151978
10.7204,0.000152556
10.7591,0.000153136
10.7978,0.000153718
10.8365,0.000154302
10.8752,0.000154887
10.9139,0.000155475
10.9526,0.000156064
10.9913,0.000156655
11.03,0.000157248
11.0687,0.000157842
11.1074,0.000158439
11.1461,0.000159037
11.1848,0.000159637
11.2236,0.000160239
11.2623,0.000160843
11.301,0.000161449
11.3397,0.000162056
11.3784,0.000162665
11.4171,0.000163276
11.4558,0.000163889
11.4945,0.000164504
11.5332,0.00016512
11.5719,0.000165738
11.6106,0.000166358
11.6493,0.000166979
11.688,0.000167602
11.7267,0.000168227
11.7654,0.000168854
11.8041,0.000169482
11.8428,0.000170111
11.8815,0.000170742
