# diocotron highorder nc=1024 l=3 ng=3 cfl=0.4
t,amplitude
0,9.31122e-05
0.00954262,9.31111e-05
0.0190852,9.31112e-05
0.0286279,9.31122e-05
0.0381705,9.31139e-05
0.0477131,9.31164e-05
0.0572557,9.31195e-05
0.0667983,9.31233e-05
0.0763409,9.31277e-05
0.0858836,9.31329e-05
0.0954262,9.31386e-05
0.104969,9.31451e-05
0.114511,9.31522e-05
0.124054,9.316e-05
0.133597,9.31684e-05
0.143139,9.31775e-05
0.152682,9.31872e-05
0.162225,9.31976e-05
0.171767,9.32086e-05
0.18131,9.32203e-05
0.190852,9.32326e-05
0.200395,9.32456e-05
0.209938,9.32592e-05
0.21948,9.32734e-05
0.229023,9.32883e-05
0.238565,9.33038e-05
0.248108,9.33199e-05
0.257651,9.33367e-05
0.267193,9.33541e-05
0.276736,9.33722e-05
0.286279,9.33909e-05
0.295821,9.34102e-05
0.305364,9.34301e-05
0.314906,9.34507e-05
0.324449,9.34719e-05
0.333992,9.34937e-05
0.343534,9.35161e-05
0.353077,9.35392e-05
0.36262,9.35629e-05
0.372162,9.35872e-05
0.381705,9.36121e-05
0.391247,9.36377e-05
0.40079,9.36638e-05
0.410333,9.36906e-05
0.419875,9.3718e-05
0.429418,9.3746e-05
0.43896,9.37746e-05
0.448503,9.38039e-05
0.458046,9.38337e-05
0.467588,9.38642e-05
0.477131,9.38953e-05
0.486674,9.39269e-05
0.496216,9.39592e-05
0.505759,9.39921e-05
0.515301,9.40255e-05
0.524844,9.40596e-05
0.534387,9.40942e-05
0.543929,9.41295e-05
0.553472,9.41653e-05
0.563015,9.42018e-05
0.572557,9.42388e-05
0.5821,9.42764e-05
0.591642,9.43146e-05
0.601185,9.43534e-05
0.610728,9.43928e-05
0.62027,9.44327e-05
0.629813,9.44732e-05
0.639355,9.45143e-05
0.648898,9.4556e-05
0.658441,9.45982e-05
0.667983,9.46411e-05
0.677526,9.46845e-05
0.687069,9.47284e-05
0.696611,9.4773e-05
0.706154,9.48181e-05
0.715696,9.48638e-05
0.725239,9.491e-05
0.734782,9.49568e-05
0.744324,9.50041e-05
0.753867,9.50521e-05
0.763409,9.51006e-05
0.772952,9.51496e-05
0.782495,9.51992e-05
0.792037,9.52493e-05
0.80158,9.53e-05
0.811123,9.53513e-05
0.820665,9.54031e-05
0.830208,9.54555e-05
0.83975,9.55084e-05
0.849293,9.55618e-05
0.858836,9.56158e-05
0.868378,9.56703e-05
0.877921,9.57254e-05
0.887464,9.5781e-05
0.897006,9.58372e-05
0.906549,9.58939e-05
0.916091,9.59511e-05
0.925634,9.60088e-05
0.935177,9.60671e-05
0.944719,9.61259e-05
0.954262,9.61853e-05
0.963804,9.62452e-05
0.973347,9.63056e-05
0.98289,9.63665e-05
0.992432,9.64279e-05
1.00197,9.64899e-05
1.01152,9.65523e-05
1.02106,9.66153e-05
1.0306,9.66788e-05
1.04015,9.67428e-05
1.04969,9.68074e-05
