# diocotron highorder nc=512 l=4 ng=3 cfl=0.4
t,amplitude
0,6.14648e-05
0.0192669,6.14628e-05
0.0385338,6.1465e-05
0.0578007,6.14703e-05
0.0770677,6.14782e-05
0.0963346,6.14885e-05
0.115601,6.15012e-05
0.134868,6.15164e-05
0.154135,6.15339e-05
0.173402,6.15538e-05
0.192669,6.15761e-05
0.211936,6.16007e-05
0.231203,6.16277e-05
0.25047,6.16571e-05
0.269737,6.16889e-05
0.289004,6.1723e-05
0.308271,6.17595e-05
0.327538,6.17982e-05
0.346804,6.18393e-05
0.366071,6.18827e-05
0.385338,6.19284e-05
0.404605,6.19764e-05
0.423872,6.20266e-05
0.443139,6.20792e-05
0.462406,6.2134e-05
0.481673,6.2191e-05
0.50094,6.22503e-05
0.520207,6.23118e-05
0.539474,6.23756e-05
0.55874,6.24415e-05
0.578007,6.25096e-05
0.597274,6.25799e-05
0.616541,6.26524e-05
0.635808,6.27271e-05
0.655075,6.28039e-05
0.674342,6.28828e-05
0.693609,6.29638e-05
0.712876,6.3047e-05
0.732143,6.31323e-05
0.75141,6.32197e-05
0.770677,6.33091e-05
0.789943,6.34006e-05
0.80921,6.34942e-05
0.828477,6.35898e-05
0.847744,6.36874e-05
0.867011,6.37871e-05
0.886278,6.38888e-05
0.905545,6.39925e-05
0.924812,6.40981e-05
0.944079,6.42058e-05
0.963346,6.43153e-05
0.982613,6.44269e-05
1.00188,6.45403e-05
1.02115,6.46556e-05
1.04041,6.47729e-05
1.05968,6.4892e-05
1.07895,6.5013e-05
1.09821,6.51359e-05
1.11748,6.52606e-05
1.13675,6.53871e-05
1.15601,6.55155e-05
1.17528,6.56456e-05
1.19455,6.57775e-05
1.21382,6.59112e-05
1.23308,6.60467e-05
1.25235,6.61839e-05
1.27162,6.63228e-05
1.29088,6.64635e-05
1.31015,6.66059e-05
1.32942,6.67499e-05
1.34868,6.68956e-05
1.36795,6.7043e-05
1.38722,6.7192e-05
1.40648,6.73427e-05
1.42575,6.7495e-05
1.44502,6.76489e-05
1.46429,6.78043e-05
1.48355,6.79614e-05
1.50282,6.812e-05
1.52209,6.82802e-05
1.54135,6.84418e-05
1.56062,6.86051e-05
1.57989,6.87698e-05
1.59915,6.8936e-05
1.61842,6.91037e-05
1.63769,6.92729e-05
1.65695,6.94435e-05
1.67622,6.96156e-05
1.69549,6.97891e-05
1.71476,6.99641e-05
1.73402,7.01404e-05
1.75329,7.03181e-05
1.77256,7.04973e-05
1.79182,7.06778e-05
1.81109,7.08596e-05
1.83036,7.10428e-05
1.84962,7.12273e-05
1.86889,7.14131e-05
1.88816,7.16003e-05
1.90742,7.17887e-05
1.92669,7.19784e-05
1.94596,7.21694e-05
1.96523,7.23616e-05
1.98449,7.25551e-05
2.00376,7.27498e-05
2.02303,7.29457e-05
2.04229,7.31429e-05
2.06156,7.33412e-05
2.08083,7.35408e-05
2.10009,7.37415e-05
2.11936,7.39433e-05
2.13863,7.41464e-05
2.15789,7.43505e-05
